,student_ids,Absent Grade 7,Tardy Grade 7,Absent Grade 8,Tardy Grade 8,target
134,126101,9,1,1,0,1
135,117783,1,1,0,1,1
136,117495,9,0,10,2,1
137,117810,5,6,10,25,1
138,117676,3,0,3,0,1
139,122094,3,0,1,2,1
140,117442,2,1,1,1,1
141,117497,14,0,9,1,1
142,118195,0,0,0,0,1
143,124368,7,0,5,1,1
144,126842,0,1,0,1,1
145,126844,3,1,0,1,1
146,118254,18,0,24,1,1
147,117639,2,0,2,1,1
148,117915,12,1,6,2,1
149,117831,11,17,7,12,1
150,118955,4,1,0,1,1
151,117918,5,6,7,11,1
152,123192,5,0,5,1,1
153,138653,8,0,7,2,1
154,117723,4,1,4,0,1
155,119770,4,0,8,1,1
156,127186,3,0,6,2,1
157,121404,12,0,12,4,1
158,121104,0,0,0,1,1
159,117819,0,0,2,10,1
160,118253,12,0,8,2,1
161,118000,7,1,0,0,1
162,127006,3,0,8,1,1
163,122361,12,13,1,15,1
164,117806,3,1,0,9,1
165,117441,5,0,3,1,1
166,117502,2,0,1,1,1
167,127657,0,0,0,1,1
168,117485,2,2,3,0,1
169,122902,0,0,0,0,1
170,117548,6,0,5,3,1
171,117817,8,5,7,7,1
172,117759,2,1,3,0,1
173,126590,1,0,0,0,1
174,118725,6,1,3,0,1
175,126534,2,0,2,1,1
176,118024,5,4,9,9,1
177,115841,1,0,2,1,1
178,122963,10,2,5,1,1
179,120166,1,0,0,0,1
180,128507,8,6,10,18,1
181,117651,0,0,0,3,1
182,117670,2,1,3,7,1
183,117503,0,0,1,0,1
184,116449,0,0,0,1,1
185,118359,4,1,2,1,1
186,128772,12,5,8,14,1
187,118889,4,1,4,2,1
188,118168,7,2,11,0,1
189,117452,14,1,9,4,1
190,118681,10,0,4,0,1
191,117514,8,1,5,2,1
192,121102,10,0,1,1,1
193,117765,11,0,13,5,1
194,131183,0,0,4,2,1
195,116507,3,5,4,12,1
196,118150,4,6,11,11,1
197,145284,9,0,9,2,1
198,115598,0,0,3,1,1
199,134689,2,0,4,0,1
200,132613,0,0,0,1,1
201,140983,0,0,2,3,1
202,117746,1,2,1,18,1
203,117707,0,0,0,0,1
204,117431,6,1,6,0,1
205,118005,6,3,9,8,1
206,117704,3,0,1,1,1
207,118251,3,1,5,1,1
208,118812,4,0,3,0,1
209,117454,6,3,4,4,1
210,117149,3,0,3,1,1
211,117505,2,0,6,0,1
212,117739,1,0,2,1,1
213,118015,0,0,5,3,1
214,117318,7,1,5,1,1
215,115686,0,2,1,6,1
216,117524,1,1,9,3,1
217,122906,0,0,2,1,1
218,117857,4,0,14,6,0
219,132134,14,0,7,7,0
220,124402,0,0,0,0,0
221,118270,7,0,10,3,0
222,139405,3,3,10,4,0
223,117713,7,1,1,0,0
224,115228,2,2,6,9,0
225,127545,5,0,15,1,0
226,140285,2,0,0,1,0
227,127477,9,0,5,0,0
228,159804,0,0,0,0,0
229,156972,0,0,1,3,0
230,117461,0,1,0,0,0
231,146152,9,0,15,0,0
232,138274,5,0,13,4,0
233,147010,7,0,2,6,0
234,118123,0,0,0,0,0
235,116828,5,0,6,1,0
236,140119,1,2,1,12,0
237,118030,4,0,3,13,0
238,156525,0,0,1,0,0
239,131454,9,2,5,1,0
240,118354,1,1,0,5,0
241,151503,2,1,1,3,0
242,124159,3,0,2,0,0
243,144663,7,1,11,5,0
244,121844,7,0,5,1,0
245,145508,10,0,25,3,0
246,145507,21,1,30,7,0
247,117510,3,0,6,2,0
248,115256,1,0,2,1,0
249,115258,1,1,3,5,0
250,152299,10,0,1,1,0
251,117542,6,1,5,17,0
252,117543,5,1,7,13,0
253,115764,2,0,4,2,0
254,117097,5,1,4,20,0
255,122088,9,0,5,4,0
256,144403,5,1,10,17,0
257,158817,0,0,0,0,0
258,123855,9,2,1,24,0
259,115263,6,11,12,18,0
260,157768,0,0,2,3,0
261,118062,2,0,1,2,0
262,118074,14,6,9,5,0
263,149029,7,2,6,1,0
264,145281,9,2,6,3,0
265,159259,0,0,0,0,0
266,116296,13,0,21,19,0
267,117843,0,0,0,1,0
268,160117,0,0,0,0,0
269,117879,19,12,20,14,0
270,115280,15,9,1,14,0
271,123511,11,13,6,13,0
272,144308,0,0,0,0,0
273,122283,8,5,2,24,0
274,118022,10,0,9,1,0
275,143480,8,6,8,0,0
276,117894,5,1,8,6,0
277,116304,6,0,5,0,0
278,136097,8,4,14,13,0
279,118478,5,6,8,10,0
280,122098,1,30,12,14,0
281,159022,0,0,0,0,0
282,160755,0,0,0,0,0
283,117056,16,3,5,6,0
284,159053,0,0,0,0,0
285,142754,8,1,7,7,0
286,117564,5,0,5,1,0
287,155934,0,0,31,3,0
288,159366,0,0,0,0,0
289,132303,4,1,4,0,0
290,153054,4,4,3,1,0
291,121560,11,41,8,30,0
292,117565,3,1,1,0,0
293,118507,5,17,4,17,0
294,117729,1,0,2,8,0
295,117900,5,2,15,34,0
296,157280,0,0,0,0,0
297,141762,6,5,7,3,0
298,132806,9,11,18,20,0
299,115952,4,18,0,0,0
300,135149,0,0,0,1,0
301,158926,0,0,0,0,0
302,117567,8,0,24,9,0
303,126687,16,0,8,0,0
304,145724,0,1,0,3,0
305,159123,0,0,0,0,0
306,134935,10,1,8,18,0
307,154855,1,0,2,4,0
308,118262,9,3,9,3,0
309,151264,8,31,47,10,0
310,131386,6,1,8,1,0
311,154708,3,0,2,2,0
312,119652,12,23,3,33,0
313,160853,0,0,0,0,0
314,155853,0,0,7,3,0
315,118637,3,0,4,0,0
316,132257,3,1,4,0,0
317,123735,5,0,6,8,0
318,156661,0,0,4,1,0
319,153244,3,0,3,0,0
320,117575,22,21,16,15,0
321,126766,5,2,5,2,0
322,141764,5,8,10,9,0
323,126373,34,2,35,19,0
324,115319,1,6,1,12,0
325,141460,3,10,6,10,0
326,118842,12,3,15,9,0
327,136615,1,2,10,5,0
328,150086,2,0,6,3,0
329,131614,17,1,15,10,0
330,115883,5,29,1,22,0
331,118066,1,1,0,0,0
332,118070,4,5,0,1,0
333,131197,2,9,2,2,0
334,160302,0,0,0,0,0
335,118029,5,0,5,0,0
336,138419,12,3,16,6,0
337,115326,13,5,11,3,0
338,127059,0,0,7,1,0
339,157102,0,0,11,10,0
340,117809,8,2,16,30,0
341,116736,14,6,12,23,0
342,116873,13,8,13,14,0
343,144769,2,0,4,0,0
344,118809,8,3,7,9,0
345,118248,2,1,1,1,0
346,117578,2,0,0,0,0
347,118076,6,0,8,1,0
348,148481,5,6,5,5,0
349,141305,1,0,2,1,0
350,145213,0,1,0,5,0
351,145214,0,1,0,0,0
352,155895,0,0,9,1,0
353,141549,8,2,5,0,0
354,117579,7,0,3,3,0
355,118762,2,0,7,2,0
356,117728,1,0,1,2,0
357,118957,10,6,8,12,0
358,117520,6,3,4,11,0
359,157170,0,0,7,1,0
360,144843,6,1,2,1,0
361,141561,2,13,5,13,0
362,115338,7,12,17,15,0
363,157376,0,0,9,0,0
364,115340,2,19,7,23,0
365,117570,8,1,7,5,0
366,118308,0,4,0,1,0
367,117571,8,2,2,4,0
368,117715,8,3,6,2,0
369,117814,11,0,6,0,0
370,149391,12,0,8,2,0
371,117654,3,0,2,7,0
372,115961,6,1,3,3,0
373,117722,4,0,2,10,0
374,132372,0,0,0,0,0
375,159917,0,0,0,0,0
376,148478,8,1,8,9,0
377,127143,3,0,2,2,0
378,132760,9,24,10,9,0
379,131422,20,15,13,14,0
380,117697,5,1,2,0,0
381,160652,0,0,0,0,0
382,153213,6,9,1,6,0
383,156558,0,0,6,0,0
384,147728,12,1,10,8,0
385,135228,6,0,12,14,0
386,116416,7,1,7,6,0
387,160966,0,0,0,0,0
388,158322,0,0,0,0,0
389,143677,1,2,7,7,0
390,134700,10,10,4,8,0
391,117874,4,6,3,22,0
392,148204,28,2,8,6,0
393,135131,8,19,8,23,0
394,154884,1,0,4,0,0
395,122279,7,0,9,3,0
396,158996,0,0,0,0,0
397,117594,0,0,0,0,0
398,128359,2,0,1,11,0
399,115384,6,2,11,14,0
400,148881,1,0,0,0,0
401,153303,13,2,4,13,0
402,155497,0,0,4,6,0
403,133164,3,0,7,2,0
404,160008,0,0,0,0,0
405,143216,6,14,21,31,0
406,134822,5,2,3,3,0
407,115388,7,0,2,0,0
408,143007,8,12,15,10,0
409,118192,8,2,5,6,0
410,146155,0,0,12,2,0
411,117596,6,4,3,11,0
412,117906,3,0,0,0,0
413,117538,4,0,6,0,0
414,123962,6,0,10,1,0
415,118225,12,3,8,14,0
416,140452,9,25,4,25,0
417,151312,2,0,1,6,0
418,115395,0,0,0,0,0
419,115208,13,1,1,4,0
420,144455,7,22,13,14,0
421,142974,1,4,3,0,0
422,134975,6,6,0,0,0
423,115991,13,15,4,28,0
424,158991,0,0,0,0,0
425,157002,0,0,0,0,0
426,118441,3,20,2,18,0
427,117376,0,0,2,1,0
428,122956,12,20,23,28,0
429,137956,1,0,1,0,0
430,115409,10,0,12,4,0
431,116750,0,0,0,0,0
432,143770,5,0,2,7,0
433,131414,0,0,0,0,0
434,141468,4,3,5,5,0
435,118956,10,1,6,0,0
436,158980,0,0,0,0,0
437,155772,0,0,1,2,0
438,159402,0,0,0,0,0
439,116038,1,0,0,1,0
440,159119,0,0,0,0,0
441,123510,20,25,6,31,0
442,116448,0,0,5,2,0
443,128574,2,0,0,0,0
444,151256,2,0,4,0,0
445,156193,0,0,8,1,0
446,117862,4,2,0,0,0
447,159461,0,0,0,0,0
448,153766,7,0,9,4,0
449,117667,3,1,2,2,0
450,122270,0,0,2,4,0
451,147070,6,1,7,0,0
452,118188,5,18,31,26,0
453,117769,6,0,37,4,0
454,117708,1,1,0,10,0
455,116752,0,1,8,6,0
456,118101,2,14,10,19,0
457,155173,0,0,1,0,0
458,159350,0,0,0,0,0
459,145222,3,3,12,18,0
460,154161,0,0,2,0,0
461,146132,13,0,14,3,0
462,159261,0,0,0,0,0
463,115425,1,0,1,0,0
464,153270,13,7,8,12,0
465,118393,3,3,2,3,0
466,115426,4,1,2,3,0
467,126688,5,3,8,8,0
468,149074,5,1,10,1,0
469,117920,5,9,7,32,0
470,157366,0,0,2,9,0
471,125660,6,8,11,2,0
472,117749,8,4,10,12,0
473,139759,0,0,3,0,0
474,118499,9,10,2,19,0
475,159047,0,0,0,0,0
476,115772,2,2,6,4,0
477,135744,2,2,2,6,0
478,160607,0,0,0,0,0
479,114355,2,1,4,5,0
480,150508,12,3,6,5,0
481,118934,0,1,0,3,0
482,155900,0,0,10,9,0
483,115887,28,3,27,12,0
484,117343,5,0,4,1,0
485,154659,0,0,0,0,0
486,126613,3,3,1,2,0
487,115438,5,22,5,8,0
488,113456,7,4,2,10,0
489,155948,0,0,2,0,0
490,158336,0,0,0,0,0
491,115802,10,0,5,2,0
492,159356,0,0,0,0,0
493,137867,1,0,2,0,0
494,159453,0,0,0,0,0
495,117604,9,0,8,4,0
496,117605,5,5,6,5,0
497,160665,0,0,0,0,0
498,123149,0,0,0,0,0
499,118154,2,2,5,0,0
500,117841,3,0,4,4,0
501,118966,0,0,0,0,0
502,117609,5,2,4,10,0
503,116729,5,0,3,1,0
504,117687,6,2,7,19,0
505,118347,2,1,4,3,0
506,153094,8,0,5,2,0
507,123858,17,13,17,16,0
508,146760,4,0,3,1,0
509,116046,3,4,5,8,0
510,150819,4,0,0,0,0
511,119503,8,30,3,24,0
512,114515,0,0,0,0,0
513,116442,13,22,10,23,0
514,149471,0,0,0,0,0
515,159168,0,0,0,0,0
516,144787,0,0,4,0,0
517,123031,8,23,3,10,0
518,118162,8,0,0,0,0
519,117438,1,0,2,5,0
520,160403,0,0,0,0,0
521,158602,0,0,0,0,0
522,151504,11,3,9,4,0
523,117614,0,0,1,3,0
524,126594,1,0,0,2,0
525,131229,4,0,3,0,0
526,118967,7,0,2,2,0
527,122561,19,11,0,0,0
528,118190,13,53,15,15,0
529,115469,3,1,9,3,0
530,117516,12,0,13,0,0
531,139954,2,5,1,7,0
532,115803,9,2,6,4,0
533,117508,9,9,6,16,0
534,118090,14,7,11,16,0
535,135115,2,0,1,0,0
536,135017,9,4,6,15,0
537,118105,5,5,4,4,0
538,118989,8,0,8,2,0
539,118779,15,2,4,2,0
540,118282,9,9,8,19,0
541,118135,4,0,4,10,0
542,117989,0,0,0,0,0
543,118343,10,0,12,0,0
544,158056,0,0,0,0,0
545,159278,0,0,0,0,0
546,118331,2,0,0,1,0
547,149707,15,5,1,0,0
548,117825,2,0,0,1,0
549,130915,15,5,16,11,0
550,148283,5,0,2,4,0
551,139912,3,0,3,5,0
552,153227,9,1,3,8,0
553,117528,1,1,3,2,0
554,117019,18,24,19,21,0
555,155705,0,0,6,1,0
556,118476,5,0,3,7,0
557,117911,13,1,9,4,0
558,145094,15,7,1,3,0
559,132193,6,0,7,0,0
560,122966,5,0,5,7,0
561,117790,0,0,1,3,0
562,115950,3,2,6,6,0
563,123329,20,24,1,18,0
564,118793,4,0,4,1,0
565,116418,4,1,5,15,0
566,117795,4,5,3,9,0
567,122908,4,0,4,2,0
568,118185,6,1,5,0,0
569,118271,6,1,12,19,0
570,127526,34,14,5,37,0
571,153232,3,0,5,0,0
572,115897,5,1,18,7,0
573,118999,5,3,4,10,0
574,117675,1,0,4,20,0
575,117484,0,0,0,9,0
576,153712,9,2,6,2,0
577,117731,2,0,2,0,0
578,148905,5,0,2,1,0
579,160014,0,0,0,0,0
580,123207,5,0,7,1,0
581,138184,0,0,4,0,0
582,117826,5,1,5,0,0
583,115508,0,0,1,2,0
584,141380,0,0,4,1,0
585,117633,2,2,1,8,0
586,146169,5,0,2,0,0
587,144847,10,7,12,19,0
588,150889,0,5,0,8,0
589,118196,11,11,27,12,0
590,115777,12,4,18,2,0
591,158634,0,0,0,0,0
592,122638,10,0,14,7,0
593,115520,17,15,2,8,0
594,151310,13,1,0,0,0
595,140283,5,2,5,14,0
596,135159,4,3,14,12,0
597,153230,7,0,11,4,0
598,127459,6,4,5,7,0
599,116735,0,0,0,0,0
600,144264,1,0,2,0,0
601,159116,0,0,0,0,0
602,117803,3,3,9,13,0
603,117788,13,1,11,7,0
604,156868,0,0,6,1,0
605,150620,4,0,8,3,0
606,118509,14,2,2,10,0
607,117756,14,12,14,26,0
608,117401,0,0,0,0,0
609,118919,7,8,3,2,0
610,149282,1,1,3,3,0
611,128308,2,8,3,7,0
612,127057,0,0,4,0,0
613,149414,2,0,1,6,0
614,159003,0,0,0,0,0
615,128468,8,1,4,3,0
616,152014,1,0,0,1,0
617,117888,9,1,4,5,0
618,118389,0,0,0,0,0
619,117677,4,0,4,3,0
620,117863,4,1,4,1,0
621,115532,3,23,10,17,0
622,126684,1,0,17,3,0
623,128155,3,0,3,3,0
624,159034,0,0,0,0,0
625,141231,0,0,0,1,0
626,159004,0,0,0,0,0
627,152041,1,0,1,0,0
628,155922,0,0,7,6,0
629,115534,4,2,4,3,0
630,158990,0,0,0,0,0
631,117726,0,0,4,0,0
632,148880,3,29,8,33,0
633,158054,0,0,0,0,0
634,150867,11,1,4,1,0
635,115539,2,2,1,5,0
636,138093,1,0,2,1,0
637,124084,9,6,6,25,0
638,159017,0,0,0,0,0
639,159386,0,0,0,0,0
640,118079,4,0,2,1,0
641,117712,9,0,2,1,0
642,140341,2,24,4,13,0
643,154633,1,0,0,1,0
644,118103,0,0,0,0,0
645,116491,9,3,8,5,0
646,116492,11,15,8,7,0
647,160155,0,0,0,0,0
648,154620,7,1,3,2,0
649,117864,3,5,4,10,0
650,116897,0,0,0,0,0
651,151353,8,0,10,7,0
652,118909,9,1,1,3,0
653,116625,15,0,7,0,0
654,116248,0,0,0,1,0
655,122362,10,1,6,8,0
656,115545,7,1,7,0,0
657,159737,0,0,0,0,0
658,126700,1,0,2,1,0
659,139875,3,0,1,0,0
660,117951,2,3,5,3,0
661,135717,1,0,1,1,0
662,121405,8,2,16,4,0
663,160165,0,0,0,0,0
664,118206,2,1,1,8,0
665,127952,1,6,4,6,0
666,148139,12,0,6,5,0
667,118752,9,2,6,24,0
668,148075,4,1,10,1,0
669,123204,1,9,4,6,0
670,125503,10,1,7,10,0
671,121859,3,0,4,6,0
672,117757,0,0,0,0,0
673,118092,25,2,23,12,0
674,150411,2,0,3,0,0
675,116890,0,0,0,0,0
676,117881,0,0,0,8,0
677,118274,3,1,11,8,0
678,141548,5,3,4,0,0
679,117638,1,0,3,3,0
680,117637,3,1,1,19,0
681,159398,0,0,0,0,0
682,117489,0,0,6,2,0
683,160717,0,0,0,0,0
684,145400,2,0,2,1,0
685,114519,74,10,38,4,0
686,117928,3,0,5,0,0
687,116458,1,7,8,6,0
688,117439,0,1,0,0,0
689,118715,2,0,2,8,0
690,123754,8,2,2,1,0
691,131327,2,1,5,3,0
692,117014,8,1,6,18,0
693,118334,4,1,5,2,0
694,121702,3,2,11,17,0
695,116555,13,1,12,33,0
696,154617,2,2,3,3,0
697,130779,2,0,2,7,0
698,117556,2,4,5,16,0
699,157404,0,0,2,3,0
700,160365,0,0,0,0,0
701,117778,1,0,0,0,0
702,127099,0,0,32,15,0
703,123516,14,0,10,2,0
704,118309,13,0,13,1,0
705,116835,6,0,2,0,0
706,159351,0,0,0,0,0
707,159120,0,0,0,0,0
708,144762,12,0,3,2,0
709,123573,9,0,10,1,0
710,152854,7,1,2,2,0
711,159209,0,0,0,0,0
712,117427,2,0,5,0,0
713,154857,3,0,5,0,0
714,117527,3,0,3,1,0
715,115623,5,0,4,1,0
716,139377,5,15,1,4,0
717,116636,14,3,2,16,0
718,118704,8,0,13,4,0
719,116755,0,0,23,5,0
720,118269,5,2,2,1,0
721,145958,5,17,2,4,0
722,158059,0,0,0,0,0
723,152732,2,0,5,2,0
724,118385,0,0,1,0,0
725,115812,2,2,3,2,0
726,127138,29,1,20,1,0
727,150754,1,1,9,2,0
728,154055,2,0,1,5,0
729,118470,1,0,0,0,0
730,117877,2,0,2,0,0
731,118140,4,0,2,2,0
732,155701,0,0,3,1,0
733,118474,0,0,12,4,0
734,141970,4,26,1,22,0
735,122962,7,0,7,1,0
736,159254,0,0,0,0,0
737,117319,15,7,12,3,0
738,115639,10,0,14,1,0
739,160803,0,0,0,0,0
740,160626,0,0,0,0,0
741,118726,9,2,5,16,0
742,117429,14,8,11,20,0
743,118383,8,10,6,25,0
744,146704,7,3,2,2,0
745,157197,0,0,1,14,0
746,117023,14,9,4,5,0
747,159121,0,0,0,0,0
748,118936,5,0,1,0,0
749,135156,17,8,22,2,0
750,118361,9,4,5,8,0
751,115865,6,13,2,19,0
752,118400,5,3,21,13,0
753,159279,0,0,0,0,0
754,117296,14,17,12,6,0
755,148669,5,0,7,2,0
756,117793,12,1,13,9,0
757,117145,0,0,6,3,0
758,129756,0,0,0,0,0
759,117775,2,1,3,0,0
760,149583,0,0,5,10,0
761,157159,0,0,1,1,0
762,115653,0,0,6,18,0
763,116260,14,17,3,10,0
764,153247,12,9,6,18,0
765,115941,33,21,30,9,0
766,115794,13,5,4,12,0
767,127491,15,26,3,18,0
768,118219,3,0,6,2,0
769,116671,5,19,9,18,0
770,117451,2,0,1,6,0
771,117434,0,7,1,15,0
772,158411,0,0,0,0,0
773,149235,3,1,10,3,0
774,115135,8,0,9,1,0
775,122964,1,0,1,3,0
776,137975,2,5,6,18,0
777,116738,10,14,5,15,0
778,141933,1,0,3,0,0
779,125359,11,3,6,2,0
780,143813,0,0,3,0,0
781,115662,8,0,7,0,0
782,150715,0,0,4,0,0
783,143157,5,15,5,10,0
784,148261,3,0,0,1,0
785,117652,13,8,0,0,0
786,115734,3,4,5,5,0
787,121602,8,1,4,2,0
788,154859,10,2,21,16,0
789,127100,1,0,4,5,0
790,117852,7,2,4,15,0
791,123048,12,0,13,0,0
792,117820,3,4,1,4,0
793,118510,7,2,5,5,0
794,119259,6,1,5,8,0
795,117853,2,0,1,0,0
796,159102,0,0,0,0,0
797,122873,2,0,9,0,0
798,118082,2,0,1,6,0
799,129552,0,0,2,1,0
800,117777,0,1,0,3,0
801,117832,2,1,1,9,0
802,155963,0,0,13,0,0
803,117656,10,0,7,3,0
804,149858,6,1,3,0,0
805,118291,14,20,12,34,0
806,159679,0,0,0,0,0
807,116721,6,2,3,1,0
808,133157,3,16,3,12,0
809,117377,6,6,3,15,0
810,156420,0,0,7,58,0
811,156419,0,0,5,56,0
812,115600,11,10,14,18,0
813,119364,15,37,21,28,0
814,150635,5,1,4,0,0
815,125059,5,0,1,0,0
816,116568,0,0,2,1,0
817,117709,4,25,3,17,0
818,158076,0,0,0,0,0
819,117659,0,0,1,0,0
820,159255,0,0,0,0,0
821,133260,5,0,10,9,0
822,117737,31,15,7,1,0
823,118107,9,0,5,1,0
824,158389,0,0,0,0,0
825,117982,1,0,1,1,0
826,118844,0,0,0,0,0
827,117931,10,0,7,0,0
828,160328,0,0,0,0,0
829,141656,0,0,0,0,0
830,117430,15,25,4,16,0
831,159756,0,0,0,0,0
832,146854,0,0,5,9,0
833,156488,0,0,3,1,0
834,132559,8,9,6,7,0
835,118160,5,0,5,2,0
836,128702,0,1,3,0,0
837,133302,4,0,1,1,0
838,124128,4,1,6,4,0
839,117733,1,1,2,1,0
840,118307,1,0,1,0,0
841,117621,1,0,2,1,0
842,118504,5,7,2,5,0
843,116031,14,3,8,13,0
844,123709,6,2,7,5,0
845,141763,8,0,4,1,0
846,118161,5,0,2,1,0
847,118810,0,0,0,0,0
848,122856,0,0,0,0,0
849,153625,1,0,9,0,0
850,118109,7,2,7,2,0
851,134807,1,0,1,1,0
852,159005,0,0,0,0,0
853,117807,0,0,0,0,0
854,117780,0,3,1,2,0
855,117735,11,14,9,23,0
856,116705,5,7,6,1,0
857,144405,5,0,1,0,0
858,155918,0,0,2,0,0
859,123315,9,2,5,6,0
860,159652,0,0,0,0,0
861,128114,4,2,8,9,0
862,117886,2,0,4,10,0
863,159664,0,0,0,0,0
864,125612,7,0,11,6,0
865,136312,0,0,6,0,0
866,113902,2,0,3,0,0
867,159458,0,0,0,0,0
868,122960,2,0,4,0,0
869,144415,4,3,1,4,0
870,118780,12,19,12,19,0
871,122138,4,1,10,1,0
872,158918,0,0,0,0,0
873,117808,5,0,5,0,0
874,156356,0,0,2,0,0
875,123041,0,0,1,1,0
876,117744,14,29,22,51,0
877,116048,0,0,6,15,0
878,159678,0,0,0,0,0
879,159280,0,0,0,0,0
880,136135,2,0,4,0,0
881,161008,0,0,0,0,0
882,123967,11,0,4,0,0
883,138428,8,28,5,30,0
884,118888,1,13,8,11,0
885,135225,12,3,4,0,0
