,id,ELA_7,Math_7,ELA_8,Math_8
79,00117646,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
80,00131475,[' 4 '],[' 3 '],[' 4 '],[' 3 ']
81,00117599,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
82,00118223,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
83,00118224,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
84,00117465,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
85,00148751,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
86,00116757,[' 2 '],[' 2 '],[' 2 '],[' 2 ']
87,00122019,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
88,00123629,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
89,00122952,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
90,00123118,[' 5 '],[' 3 '],[' 4 '],[' 4 ']
91,00128797,[' 4 '],[' 3 '],[' 4 '],[' 3 ']
92,00128218,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
93,00118374,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
94,00119257,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
95,00117848,[' 5 '],[' 5 '],[' 5 '],[' 4 ']
96,00117824,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
97,00115457,[' 4 '],[' 4 '],[' 5 '],[' 4 ']
98,00136556,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
99,00124809,[' 4 '],[' 5 '],[' 4 '],[' 5 ']
100,00118186,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
101,00117522,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
102,00117684,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
103,00122134,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
104,00126769,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
105,00126653,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
106,00122871,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
107,00117875,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
108,00116646,[' 4 '],[' 4 '],[' 5 '],[' 4 ']
109,00143054,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
110,00122097,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
