,student_ids,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,target
125,122968,4,5,3,5,1
126,122955,3,5,4,4,1
127,117634,3,5,4,5,1
128,145265,4,5,4,5,1
129,118078,4,4,5,4,1
130,121869,4,5,4,5,1
131,117912,3,4,2,4,1
132,117487,4,4,3,4,1
133,119424,3,4,3,4,1
134,126101,3,5,4,5,1
135,117783,5,5,5,5,1
136,117495,4,5,4,5,1
137,117810,5,5,5,5,1
138,117676,4,4,5,4,1
139,122094,3,4,4,4,1
140,117442,4,5,4,5,1
141,117497,4,5,4,5,1
142,118195,5,4,5,4,1
143,124368,4,4,5,4,1
144,126842,5,5,5,5,1
145,126844,5,5,5,5,1
146,118254,4,5,4,4,1
147,117639,3,4,4,4,1
148,117915,3,4,4,5,1
149,117831,4,5,4,5,1
150,118955,5,5,4,5,1
151,117918,4,4,4,4,1
152,123192,4,4,4,5,1
153,138653,4,4,4,4,1
154,117723,4,4,4,4,1
155,119770,4,5,5,5,1
156,127186,4,4,0,3,1
157,121404,4,4,4,4,1
158,121104,3,3,3,4,1
159,117819,3,4,4,5,1
160,118253,4,5,5,5,1
161,118000,4,5,5,5,1
162,127006,3,4,4,4,1
163,122361,0,0,4,4,1
164,117806,5,5,5,5,1
165,117441,4,5,4,5,1
166,117502,4,5,4,5,1
167,127657,4,5,4,5,1
168,117485,3,5,4,5,1
169,122902,5,5,5,5,1
170,117548,2,4,3,3,1
171,117817,4,5,4,5,1
172,117759,4,5,4,5,1
173,126590,4,5,4,4,1
174,118725,4,5,4,5,1
175,126534,4,5,4,5,1
176,118024,4,4,4,4,1
177,115841,3,4,3,4,1
178,122963,2,4,1,4,1
179,120166,4,5,4,5,1
180,128507,3,4,3,4,1
181,117651,4,5,4,4,1
182,117670,4,4,4,5,1
183,117503,4,5,4,5,1
184,116449,3,4,3,3,1
185,118359,4,5,4,4,1
186,128772,4,4,4,4,1
187,118889,4,5,4,5,1
188,118168,4,5,4,5,1
189,117452,4,5,4,5,1
190,118681,4,5,5,5,1
191,117514,5,5,5,5,1
192,121102,4,4,5,4,1
193,117765,4,4,4,4,1
194,131183,0,0,4,5,1
195,116507,2,3,2,3,1
196,118150,4,5,4,5,1
197,145284,4,4,4,4,1
198,115598,4,5,5,5,1
199,134689,4,5,4,5,1
200,132613,4,4,5,5,1
201,140983,4,4,4,3,1
202,117746,3,4,4,4,1
203,117707,2,5,4,5,1
204,117431,3,5,4,4,1
205,118005,4,5,5,5,1
206,117704,4,5,4,4,1
207,118251,4,4,4,4,1
208,118812,3,3,4,4,1
209,117454,5,5,5,5,1
210,117149,3,4,4,4,1
211,117505,4,5,5,5,1
212,117739,4,4,4,4,1
213,118015,4,5,4,5,1
214,117318,3,4,2,3,1
215,115686,0,0,2,2,1
216,117524,4,5,4,5,1
217,122906,4,4,4,5,1
218,117857,4,4,3,3,0
219,132134,2,3,0,0,0
220,124402,0,0,0,0,0
221,118270,3,4,3,5,0
222,139405,2,2,1,2,0
223,117713,3,4,4,3,0
224,115228,1,1,2,1,0
225,127545,3,4,3,3,0
226,140285,2,2,2,3,0
227,127477,4,4,4,4,0
228,159804,0,0,0,0,0
229,156972,0,0,3,0,0
230,117461,3,4,3,3,0
231,146152,0,0,0,0,0
232,138274,2,1,1,2,0
233,147010,2,1,2,1,0
234,118123,0,0,0,0,0
235,116828,4,4,4,5,0
236,140119,2,3,4,2,0
237,118030,3,5,4,5,0
238,156525,0,0,1,0,0
239,131454,4,3,4,4,0
240,118354,4,4,3,3,0
241,151503,2,3,3,4,0
242,124159,3,4,4,5,0
243,144663,4,4,2,3,0
