,id,Comment_1,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7,Commnet_8
27,00117916,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],"['Demonstrates above average ability, motivation and attitude in this class--']"
28,00123726,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--']
29,00117562,['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
30,00118471,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",['Conscientious about classroom responsibilities--'],"['Demonstrates above average ability, motivation and attitude in this class--']",[''],['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
31,00118147,['Poor test scores--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],['Incomplete homework--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']"
32,00117122,"['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
33,00117563,['Conscientious about classroom responsibilities--'],['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Poor test scores--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
34,00125558,['Poor test scores--'],['In danger of failing.'],[''],['Unprepared for class--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete homework--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
35,00118502,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Incomplete homework--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']"
36,00141419,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
37,00116062,['Good work. Satisfactory'],['Need put more effort for Chinese'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
38,00143681,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Demonstrates outstanding effort--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",['Conscientious about classroom responsibilities--'],"['Demonstrates above average ability, motivation and attitude in this class--']"
39,00118798,"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],['Demonstrates outstanding effort--']
40,00113361,['Improvement noted--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],[''],[''],['Conscientious about classroom responsibilities--']
41,00116744,['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Demonstrates outstanding effort--'],"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
42,00146702,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--']
43,00117665,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],['Demonstrates outstanding effort--'],[''],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
44,00118247,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",['Demonstrates outstanding effort--'],['Good Work. Satisfactory'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Demonstrates outstanding effort--']
45,00118503,['Poor test scores--'],['Parent conference requested--'],['Conscientious about classroom responsibilities--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
46,00118019,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
47,00127392,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Demonstrates outstanding effort--'],"['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
48,00117424,['Incomplete homework--'],[''],['Conscientious about classroom responsibilities--'],[''],['Good work. Satisfactory'],['Incomplete homework--'],[''],['Incomplete homework--']
49,00117582,['Need put more effort for Chinese'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']",['Demonstrates outstanding effort--']
50,00127172,[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete work--'],['Need put more effort for Chinese'],[''],"['Demonstrates above average ability, motivation and attitude in this class--']",['Incomplete homework--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
51,00134673,"['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete homework--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']"
52,00122317,['Need put more effort for Chinese'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']",['Poor test scores--']
53,00120456,['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
54,00118031,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Late assignments = points off --'],[''],"['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']",['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
55,00117483,['Need put more effort for Chinese'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete homework--'],"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],['Demonstrates outstanding effort--']
56,00119553,"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Poor test scores--']
57,00117464,['I assigned a quiz twice on Google classroom and she did not do it.'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
58,00120503,['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
59,00140852,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Demonstrates outstanding effort--']
60,00115360,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']"
61,00117692,['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",['Demonstrates outstanding effort--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']"
62,00155847,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],"['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation, and attitude in this class--']",['Demonstrates outstanding effort--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
63,00127512,['Incomplete homework--'],[''],['Incomplete homework--'],['Conscientious about classroom responsibilities--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete homework--']
64,00117585,"['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Good work. Satisfactory'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
65,00117897,['Need put more effort for Chinese'],[''],"['Demonstrates above average ability, motivation and attitude in this class--']","['Demonstrates above average ability, motivation and attitude in this class--']",['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Demonstrates outstanding effort--']
66,00123065,['Incomplete homework--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Incomplete homework--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Incomplete homework--']
67,00126850,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],['Demonstrates outstanding effort--']
68,00118782,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']",[''],['Incomplete homework--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort.']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
69,00117512,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",['Conscientious about classroom responsibilities--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
70,00145447,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Unprepared for class--']
71,00117861,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Conscientious about classroom responsibilities--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
72,00122926,"['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort. ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
73,00117761,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
74,00122794,['Need put more effort for Chinese'],"['Demonstrates above average ability, motivation and attitude in this class--']",[''],['Unprepared for class--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
75,00117419,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']",['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
76,00143862,"[""Wonderful student, but needs to participate more in improvisation exercises.  Participation in improvisation will be a large part of this marking period's grade.""]",['Poor test scores--'],['Conscientious about classroom responsibilities--'],['Demonstrates outstanding effort--'],"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
77,00117917,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Poor test scores--'],['Demonstrates outstanding effort--'],['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
78,00139896,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Shows improvement'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']"
79,00117646,['Conscientious about classroom responsibilities--'],"['Demonstrates above average ability, motivation and attitude in this class--']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],"['Demonstrates above average ability, motivation and attitude in this class--']",['Demonstrates outstanding effort--']
80,00131475,"['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Need put more effort for Chinese'],['Poor test scores--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",[''],['']
81,00117599,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Poor test scores--'],['Conscientious about classroom responsibilities--'],['Conscientious about classroom responsibilities--'],[''],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']"
82,00118223,"['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Conscientious about classroom responsibilities--'],"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Demonstrates above average ability, motivation and attitude in this class--']"
83,00118224,"['Meets acceptable standards of cooperation, work, attitude and effort - ']","['Meets acceptable standards of cooperation, work, attitude and effort - ']",['Demonstrates outstanding effort--'],"['Demonstrates above average ability, motivation and attitude in this class--']",['Demonstrates outstanding effort--'],[''],[''],['Demonstrates outstanding effort--']
