,id,Grade 7 Grades,Grade 8 Grades
11,00135610,"[' A ', ' A ', ' A+ ', ' A ', ' B+ ']","[' A ', ' C+ ', ' P ', ' A+ ', ' A+ ', ' B+ ', ' A+ ', ' A ', ' A+ ']"
12,00117435,"[' C+ ', ' C ', ' A+ ', ' A+ ', ' B ', ' B ', ' A ', ' A ', ' P ']","[' B ', ' C+ ', ' A+ ', ' A+ ', ' C+ ', ' B ', ' A ', ' A+ ']"
13,00118263,"[' B ', ' A ', ' B+ ', '   ', '   ', ' A ', ' B ', ' A ', ' A ', ' A ']","[' B ', ' B ', ' P ', ' A ', ' A ', ' A ', ' A ', ' B ', ' A ', ' B+ ']"
14,00115257,"[' A ', ' B ', ' P ', ' A+ ', ' A+ ', ' B+ ', ' A+ ', ' P ', ' A+ ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
15,00118506,"[' A ', ' A ', ' A ', '   ', ' A ', ' A ', ' A+ ', ' A ']","[' A+ ', ' A+ ', ' P ', ' P ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
16,00117835,"[' A ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ', ' P ']","[' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
17,00117558,"['   ', ' C ', ' B+ ', ' A+ ', ' A+ ', ' B+ ', ' B ', ' P ', ' A+ ']","[' B+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' B+ ', ' A ', ' A ', ' A+ ']"
18,00119804,"[' B+ ', ' A ', ' A ', '   ', '   ', ' A ', ' B ', ' A ', ' A ', ' A ']","[' A+ ', ' B ', ' P ', ' P ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
19,00124316,"[' C+ ', ' B ', ' C+ ', '   ', '   ', ' C+ ', ' C+ ', ' B+ ', ' A ', ' A+ ']","[' C ', ' F ', ' C ', ' P ', ' P ', ' C+ ', ' B ', ' B+ ', ' B ', ' A ', ' C+ ', ' A+ ']"
20,00115273,"[' B ', ' B ', ' B+ ', '   ', '   ', ' A ', ' C+ ', ' A ', ' B+ ', ' A ']","[' B ', ' C+ ', ' P ', ' A+ ', ' B ', ' B ', ' A+ ', ' A ', ' A ']"
21,00117468,"[' A ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ', ' A+ ']","[' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
22,00148451,"[' A ', ' B ', ' A ', ' B ', '   ', '   ', ' A+ ', ' B+ ', ' B+ ', ' A+ ', ' B+ ', ' B+ ']","[' A ', ' A+ ', ' A+ ', '   ', ' A+ ', ' P ', ' P ', ' A ', ' A+ ', ' A ', ' A ', ' A+ ']"
23,00117560,"[' A ', ' A ', ' A ', ' 89 ', '   ', '   ', ' A ', ' A ', ' A+ ', ' A ', ' B+ ']","[' A+ ', ' A ', ' P ', ' P ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ']"
24,00117561,"[' C+ ', ' B+ ', ' A ', '   ', '   ', ' A ', ' B ', ' B+ ', ' A ', ' A ']","[' B ', ' A ', ' A+ ', ' A ', ' A ', ' A ', ' A+ ', ' A ', ' A ', ' A+ ']"
25,00116672,"[' B ', ' B+ ', '   ', '   ', ' A+ ', ' A+ ', ' B+ ', ' B ', ' B+ ', ' B+ ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ']"
